Date,Open,High,Low,Close,Volume,Change Pct
2020-11-03,109.66,111.49,108.73,110.44,107624448,1.54
2020-11-04,114.14,115.59,112.35,114.95,138235488,4.08
2020-11-05,117.95,119.62,116.87,119.03,126387072,3.55
2020-11-06,118.32,119.2,116.13,118.69,114457920,-0.29
2020-11-09,120.5,121.99,116.05,116.32,154515312,-2.0
2020-11-10,115.55,117.59,114.13,115.97,138023392,-0.3
2020-11-11,117.19,119.63,116.44,119.49,112294952,3.04
2020-11-12,119.62,120.53,118.57,119.21,103350672,-0.23
2020-11-13,119.44,119.67,117.87,119.26,81688584,0.04
2020-11-16,118.92,120.99,118.15,120.3,91183016,0.87
2020-11-17,119.55,120.67,118.96,119.39,74270976,-0.76
2020-11-18,118.61,119.82,118.0,118.03,76322112,-1.14
2020-11-19,117.59,119.06,116.81,118.64,74112976,0.52
2020-11-20,118.64,118.77,117.29,117.34,73604288,-1.1
2020-11-23,117.18,117.62,113.75,113.85,127959320,-2.97
2020-11-24,113.91,115.85,112.59,115.17,113874216,1.16
2020-11-25,115.55,116.75,115.17,116.03,76499232,0.75
2020-11-27,116.57,117.49,116.22,116.59,46691332,0.48
2020-11-30,116.97,120.97,116.81,119.05,169410176,2.11
2020-12-01,121.01,123.47,120.01,122.72,128166800,3.08
2020-12-02,122.02,123.37,120.89,123.08,89004192,0.29
2020-12-03,123.52,123.78,122.21,122.94,78967632,-0.11
2020-12-04,122.6,122.86,121.52,122.25,78260424,-0.56
2020-12-07,122.31,124.57,122.25,123.75,86711992,1.23
2020-12-08,124.37,124.98,123.09,124.38,82225512,0.51
2020-12-09,124.53,125.95,121.0,121.78,115089192,-2.09
2020-12-10,120.5,123.87,120.15,123.24,81312168,1.2
2020-12-11,122.43,122.76,120.55,122.41,86939784,-0.67
2020-12-14,122.6,123.35,121.54,121.78,79075984,-0.51
2020-12-15,124.34,127.9,124.13,127.88,157572256,5.01
2020-12-16,127.41,128.37,126.56,127.81,98208592,-0.05
2020-12-17,128.9,129.58,128.04,128.7,94359808,0.7
2020-12-18,128.96,129.1,126.12,126.66,192541504,-1.59
2020-12-21,125.02,128.31,123.45,128.23,121251552,1.24
2020-12-22,131.61,134.41,129.65,131.88,169351824,2.85
2020-12-23,132.16,132.43,130.78,130.96,88223696,-0.7
2020-12-24,131.32,133.46,131.1,131.97,54930064,0.77
2020-12-28,133.99,137.34,133.51,136.69,124486240,3.58
2020-12-29,138.05,138.79,134.34,134.87,121047328,-1.33
2020-12-30,135.58,135.99,133.4,133.72,96452128,-0.85
2020-12-31,134.08,134.74,131.72,132.69,99116584,-0.77
2021-01-04,133.52,133.61,126.76,129.41,143301888,-2.47
2021-01-05,128.89,131.74,128.43,131.01,97664896,1.24
2021-01-06,127.72,131.05,126.38,126.6,155087968,-3.37
2021-01-07,128.36,131.63,127.86,130.92,109578160,3.41
2021-01-08,132.43,132.63,130.23,132.05,105158248,0.86
2021-01-11,129.19,130.17,128.5,128.98,100620880,-2.32
2021-01-12,128.5,129.69,126.86,128.8,91951144,-0.14
2021-01-13,128.76,131.45,128.49,130.89,88636832,1.62
2021-01-14,130.8,131.0,128.76,128.91,90221752,-1.51
2021-01-15,128.78,130.22,127.0,127.14,111598528,-1.37
2021-01-19,127.78,128.71,126.94,127.83,90757328,0.54
2021-01-20,128.66,132.49,128.55,132.03,104319488,3.29
2021-01-21,133.8,139.67,133.59,136.87,120529544,3.67
2021-01-22,136.28,139.85,135.02,139.07,114459360,1.61
2021-01-25,143.07,145.09,136.54,142.92,157611712,2.77
2021-01-26,143.6,144.3,141.37,143.16,98390552,0.17
2021-01-27,143.43,144.3,140.41,142.06,140843760,-0.77
2021-01-28,139.52,141.99,136.7,137.09,142621120,-3.5
2021-01-29,135.83,136.74,130.21,131.96,177523808,-3.74
2021-02-01,133.75,135.38,130.93,134.14,106239824,1.65
2021-02-02,135.73,136.31,134.61,134.99,83305368,0.63
2021-02-03,135.76,135.77,133.61,133.94,89880936,-0.78
2021-02-04,136.3,137.4,134.59,137.39,84183064,2.58
2021-02-05,137.35,137.42,135.86,136.76,75693832,-0.46
2021-02-08,136.03,136.96,134.92,136.91,71297216,0.11
2021-02-09,136.62,137.88,135.85,136.01,76774216,-0.66
2021-02-10,136.48,136.99,134.4,135.39,73046560,-0.46
2021-02-11,135.9,136.39,133.77,135.13,64280028,-0.19
2021-02-12,134.35,135.53,133.69,135.37,60145128,0.18
2021-02-16,135.49,136.01,132.79,133.19,80576320,-1.61
2021-02-17,131.25,132.22,129.47,130.84,98085248,-1.76
2021-02-18,129.2,130.0,127.41,129.71,96856752,-0.86
2021-02-19,130.24,130.71,128.8,129.87,87668832,0.12
2021-02-22,128.01,129.72,125.6,126.0,103916416,-2.98
2021-02-23,123.76,126.71,118.39,125.86,158273024,-0.11
2021-02-24,124.94,125.56,122.23,125.35,111039904,-0.41
2021-02-25,124.68,126.46,120.54,120.99,148199536,-3.48
2021-02-26,122.59,124.85,121.2,121.26,164560400,0.22
2021-03-01,123.75,127.93,122.79,127.79,116307888,5.39
2021-03-02,128.41,128.72,125.01,125.12,102260944,-2.09
2021-03-03,124.81,125.71,121.84,122.06,112966336,-2.45
2021-03-04,121.75,123.6,118.62,120.13,178154976,-1.58
2021-03-05,120.98,121.94,117.57,121.42,153766608,1.07
2021-03-08,120.93,121.0,116.21,116.36,154376608,-4.17
2021-03-09,119.03,122.06,118.79,121.08,129525776,4.06
2021-03-10,121.69,122.17,119.45,119.98,111943328,-0.91
2021-03-11,122.54,123.21,121.26,121.96,103026512,1.65
2021-03-12,120.4,121.17,119.16,121.03,88105048,-0.76
2021-03-15,121.41,124.0,120.42,123.99,92590552,2.45
2021-03-16,125.7,127.22,124.72,125.57,115227936,1.27
2021-03-17,124.05,125.86,122.34,124.76,111932640,-0.65
2021-03-18,122.88,123.18,120.32,120.53,121469752,-3.39
2021-03-19,119.9,121.43,119.67,119.99,185549520,-0.45
2021-03-22,120.33,123.87,120.26,123.39,111912288,2.83
2021-03-23,123.33,124.24,122.14,122.54,95467144,-0.69
2021-03-24,122.82,122.9,120.06,120.09,88530488,-2.0
2021-03-25,119.54,121.66,119.0,120.59,98844680,0.42
2021-03-26,120.35,121.48,118.92,121.21,94071232,0.51
2021-03-29,121.65,122.58,120.73,121.39,80819200,0.15
2021-03-30,120.11,120.4,118.86,119.9,85671920,-1.23
2021-03-31,121.65,123.52,121.15,122.15,118323824,1.88
2021-04-01,123.66,124.18,122.49,123.0,75089136,0.7
2021-04-05,123.87,126.16,123.07,125.9,88651176,2.36
2021-04-06,126.5,127.13,125.65,126.21,80171256,0.25
2021-04-07,125.83,127.92,125.14,127.9,83466720,1.34
2021-04-08,128.95,130.39,128.52,130.36,88844592,1.92
2021-04-09,129.8,133.04,129.47,133.0,106686704,2.03
2021-04-12,132.52,132.85,130.63,131.24,91419984,-1.32
2021-04-13,132.44,134.66,131.93,134.43,91266544,2.43
2021-04-14,134.94,135.0,131.66,132.03,87222784,-1.79
2021-04-15,133.82,135.0,133.64,134.5,89347104,1.87
2021-04-16,134.3,134.67,133.28,134.16,84922384,-0.25
2021-04-19,133.51,135.47,133.34,134.84,94264216,0.51
2021-04-20,135.02,135.53,131.81,133.11,94812352,-1.28
2021-04-21,132.36,133.75,131.3,133.5,68847136,0.29
2021-04-22,133.04,134.15,131.41,131.94,84566456,-1.17
2021-04-23,132.16,135.12,132.16,134.32,78756776,1.8
2021-04-26,134.83,135.06,133.56,134.72,66905068,0.3
2021-04-27,135.01,135.41,134.11,134.39,66015804,-0.24
2021-04-28,134.31,135.02,133.08,133.58,107760096,-0.6
2021-04-29,136.47,137.07,132.45,133.48,151100960,-0.07
2021-04-30,131.78,133.56,131.06,131.46,109839464,-1.51
2021-05-03,132.04,134.07,131.83,132.54,75135104,0.82
2021-05-04,131.19,131.49,126.7,127.85,137564720,-3.54
2021-05-05,129.2,130.45,127.97,128.1,84000896,0.2
2021-05-06,127.89,129.75,127.13,129.74,78128336,1.28
2021-05-07,130.85,131.26,129.47,130.21,78973272,0.36
2021-05-10,129.41,129.54,126.81,126.85,88071232,-2.58
2021-05-11,123.5,126.27,122.77,125.91,126142824,-0.74
2021-05-12,123.4,124.64,122.25,122.77,112172280,-2.49
2021-05-13,124.58,126.15,124.26,124.97,105861336,1.79
2021-05-14,126.25,127.89,125.85,127.45,81917952,1.98
2021-05-17,126.82,126.93,125.17,126.27,74244624,-0.93
2021-05-18,126.56,126.99,124.78,124.85,63342928,-1.12
2021-05-19,123.16,124.92,122.86,124.69,92611992,-0.13
2021-05-20,125.23,127.72,125.1,127.31,76857120,2.1
2021-05-21,127.82,128.0,125.21,125.43,79295440,-1.48
2021-05-24,126.01,127.94,125.94,127.1,63092944,1.33
2021-05-25,127.82,128.32,126.32,126.9,72009480,-0.16
2021-05-26,126.95,127.39,126.42,126.85,56575920,-0.04
2021-05-27,126.44,127.64,125.08,125.28,94625600,-1.24
2021-05-28,125.57,125.8,124.55,124.61,71311112,-0.53
2021-06-01,125.08,125.35,123.94,124.28,67637120,-0.26
2021-06-02,124.28,125.24,124.05,125.06,59278864,0.63
2021-06-03,124.68,124.85,123.13,123.54,76229168,-1.22
2021-06-04,124.07,126.16,123.85,125.89,75169344,1.9
2021-06-07,126.17,126.32,124.83,125.9,71057552,0.01
2021-06-08,126.6,128.46,126.21,126.74,74403776,0.67
2021-06-09,127.21,127.75,126.52,127.13,56877936,0.31
2021-06-10,127.02,128.19,125.94,126.11,71186424,-0.8
2021-06-11,126.53,127.44,126.1,127.35,53522372,0.98
2021-06-14,127.82,130.54,127.07,130.48,96906488,2.46
2021-06-15,129.94,130.6,129.39,129.64,62746332,-0.64
2021-06-16,130.37,130.89,128.46,130.15,91815024,0.39
2021-06-17,129.8,132.55,129.65,131.79,96721672,1.26
2021-06-18,130.71,131.51,130.24,130.46,108953312,-1.01
2021-06-21,130.3,132.41,129.21,132.3,79663312,1.41
2021-06-22,132.13,134.08,131.62,133.98,74783616,1.27
2021-06-23,133.77,134.32,133.23,133.7,60214200,-0.21
2021-06-24,134.45,134.64,132.93,133.41,68711000,-0.22
2021-06-25,133.46,133.89,132.81,133.11,70783744,-0.22
2021-06-28,133.41,135.25,133.35,134.78,62111304,1.25
2021-06-29,134.8,136.49,134.35,136.33,64556080,1.15
2021-06-30,136.17,137.41,135.87,136.96,63261392,0.46
2021-07-01,136.6,137.33,135.76,137.27,52485780,0.23
2021-07-02,137.9,140.0,137.75,139.96,78945568,1.96
2021-07-06,140.07,143.15,140.07,142.02,108181792,1.47
2021-07-07,143.53,144.89,142.66,144.57,104911592,1.8
2021-07-08,141.58,144.06,140.66,143.24,105575456,-0.92
2021-07-09,142.75,145.65,142.65,145.11,99890800,1.31
2021-07-12,146.21,146.32,144.0,144.5,76299720,-0.42
2021-07-13,144.03,147.46,143.63,145.64,100827096,0.79
2021-07-14,148.1,149.57,147.68,149.15,127050784,2.41
2021-07-15,149.24,150.0,147.09,148.48,106820296,-0.45
2021-07-16,148.46,149.76,145.88,146.39,93251424,-1.41
2021-07-19,143.75,144.07,141.67,142.45,121434568,-2.69
2021-07-20,143.46,147.1,142.96,146.15,96350032,2.6
2021-07-21,145.53,146.13,144.63,145.4,74993456,-0.51
2021-07-22,145.94,148.19,145.81,146.8,77338160,0.96
2021-07-23,147.55,148.72,146.92,148.56,71447416,1.2
2021-07-26,148.27,149.83,147.7,148.99,72434088,0.29
2021-07-27,149.12,149.21,145.55,146.77,104818576,-1.49
2021-07-28,144.81,146.97,142.54,144.98,118931192,-1.22
2021-07-29,144.69,146.55,144.58,145.64,56699476,0.46
2021-07-30,144.38,146.33,144.11,145.86,70440624,0.15
2021-08-02,146.36,146.95,145.25,145.52,62879960,-0.23
2021-08-03,145.81,148.04,145.18,147.36,64786616,1.26
2021-08-04,147.27,147.79,146.28,146.95,56368272,-0.28
2021-08-05,146.98,147.84,146.17,147.06,46397672,0.07
2021-08-06,146.35,147.11,145.63,146.14,54126812,-0.63
2021-08-09,146.2,146.7,145.52,146.09,48908688,-0.03
2021-08-10,146.44,147.71,145.3,145.6,69023080,-0.34
2021-08-11,146.05,146.72,145.53,145.86,48493464,0.18
2021-08-12,146.19,149.05,145.84,148.89,73779112,2.08
2021-08-13,148.97,149.44,148.27,149.1,59375008,0.14
2021-08-16,148.53,151.19,146.47,151.12,103558784,1.35
2021-08-17,150.23,151.68,149.09,150.19,92229736,-0.62
2021-08-18,149.8,150.72,146.15,146.36,86325992,-2.55
2021-08-19,145.03,148.0,144.5,146.7,86960312,0.23
2021-08-20,147.44,148.5,146.78,148.19,60549632,1.02
2021-08-23,148.31,150.19,147.89,149.71,60131808,1.03
2021-08-24,149.45,150.86,149.15,149.62,48606428,-0.06
2021-08-25,149.81,150.32,147.8,148.36,58991296,-0.84
2021-08-26,148.35,149.12,147.51,147.54,48597196,-0.55
2021-08-27,147.48,148.75,146.83,148.6,55802388,0.72
2021-08-30,149.0,153.49,148.61,153.12,90956720,3.04
2021-08-31,152.66,152.8,151.29,151.83,86453120,-0.84
2021-09-01,152.83,154.98,152.34,152.51,80313712,0.45
2021-09-02,153.87,154.72,152.4,153.65,71171320,0.75
2021-09-03,153.76,154.63,153.09,154.3,57866064,0.42
2021-09-07,154.97,157.26,154.39,156.69,82278264,1.55
2021-09-08,156.98,157.04,153.97,155.11,74420208,-1.01
2021-09-09,155.49,156.11,153.95,154.07,57305728,-0.67
2021-09-10,155.0,155.48,148.7,148.97,140893232,-3.31
2021-09-13,150.63,151.42,148.75,149.55,102404328,0.39
2021-09-14,150.35,151.07,146.91,148.12,109296296,-0.96
2021-09-15,148.56,149.44,146.37,149.03,83281312,0.61
2021-09-16,148.44,148.97,147.22,148.79,68034152,-0.16
2021-09-17,148.82,148.82,145.76,146.06,129868824,-1.83
2021-09-20,143.8,144.84,141.27,142.94,123478864,-2.14
2021-09-21,143.93,144.6,142.78,143.43,75833960,0.34
2021-09-22,144.45,146.43,143.7,145.85,76404344,1.69
2021-09-23,146.65,147.08,145.64,146.83,64838168,0.67
2021-09-24,145.66,147.47,145.56,146.92,53477868,0.06
