,correlatoin,AAPL,MSFT,AMZN,GOOG,TSLA
132,0.984933289529185,0,10,45,30,15
4193,0.9849305067084256,30,20,30,20,0
717,0.9849231705243018,5,5,40,20,30
1890,0.9849199684938611,10,40,25,10,15
1278,0.9849049832338889,5,45,25,25,0
550,0.9849017037788664,0,40,35,5,20
1507,0.9848975343112313,10,15,20,35,20
1367,0.9848974173735705,10,5,20,45,20
94,0.9848943169065956,0,10,20,40,30
2516,0.9848889457110588,15,35,35,10,5
294,0.9848832670313225,0,25,20,30,25
969,0.9848796411567332,5,25,20,30,20
1508,0.9848690652085187,10,15,20,40,15
622,0.9848555798572832,0,45,35,5,15
729,0.9848524640908766,5,5,45,30,15
2726,0.9848459756658976,20,5,25,25,25
3396,0.9848437773447098,25,5,40,25,5
1618,0.9848436193997152,10,20,40,15,15
80,0.9848414160625869,0,5,45,45,5
4121,0.9848338699311394,30,15,25,30,0
1952,0.9848312049711659,10,45,25,20,0
1695,0.9848278042474856,10,25,40,15,10
1456,0.9848202644764665,10,10,35,15,30
1585,0.9848187883611533,10,20,20,35,15
372,0.984808350551703,0,30,20,30,20
153,0.9848079275914047,0,15,20,35,30
300,0.9848064260303314,0,25,25,15,35
1895,0.984806049534917,10,40,30,5,15
1370,0.9848055091724774,10,5,25,25,35
1133,0.9848050147600933,5,35,25,10,25
3108,0.9848041225415844,20,30,30,10,10
893,0.984803610297138,5,20,20,40,15
970,0.9848033158176127,5,25,20,35,15
155,0.9847956418655259,0,15,20,45,20
45,0.9847930038577452,0,5,20,45,30
3164,0.9847904485491968,20,35,25,20,0
2147,0.984785322766233,15,10,35,15,25
3732,0.9847800327798877,25,30,30,15,0
309,0.9847771597863842,0,25,30,10,35
2082,0.9847683241005797,15,5,40,20,20
3378,0.9847546113385726,25,5,30,20,20
4053,0.9847478906339373,30,10,30,20,10
2001,0.9847342795694783,15,0,35,20,30
1435,0.9847313340843414,10,10,20,45,15
674,0.9847225189456434,5,0,45,30,20
32,0.9847194182024032,0,0,45,30,25
1954,0.9847194013178779,10,45,30,5,10
891,0.9847160238062562,5,20,20,30,25
3167,0.9847131954093074,20,35,30,10,5
3600,0.9847131815664029,25,20,25,20,10
3103,0.9847119818071207,20,30,25,15,10
1950,0.984699254416952,10,45,25,10,10
3668,0.984697078153297,25,25,25,20,5
1366,0.9846935602962075,10,5,20,40,25
485,0.9846928870508179,0,35,40,25,0
700,0.9846862194040406,5,5,30,20,40
1771,0.9846748150111777,10,30,40,20,0
1822,0.9846650621385216,10,35,25,10,20
3319,0.98465460394364,25,0,40,25,10
1219,0.9846495630427052,5,40,35,5,15
1307,0.9846488166302108,10,0,20,45,25
2831,0.9846460658075953,20,10,40,20,10
2908,0.9846245350444746,20,15,40,20,5
820,0.9846177042044935,5,15,20,45,15
458,0.9846149897615203,0,35,25,10,30
1409,0.9846111383080349,10,5,45,35,5
4592,0.9846095926423166,35,10,30,25,0
1049,0.984607337871411,5,30,20,30,15
1584,0.984604510576661,10,20,20,30,20
3612,0.9846037040494732,25,20,35,15,5
4060,0.9846031894752979,30,10,35,20,5
691,0.9846025624276845,5,5,20,40,30
164,0.9846019525368076,0,15,30,15,40
2123,0.9845984484599211,15,10,20,40,15
2386,0.9845889780693434,15,25,40,20,0
2669,0.9845881788880742,20,0,35,20,25
1664,0.984571036360184,10,25,20,30,15
3473,0.9845550778562238,25,10,40,25,0
642,0.9845550164465515,5,0,20,45,30
2619,0.984551631951921,15,45,30,10,0
1323,0.9845513413726478,10,0,35,20,35
1140,0.9845505911098419,5,35,30,5,25
1433,0.9845481815342969,10,10,20,35,25
4519,0.9845480103351428,35,5,30,25,5
4132,0.9845421021623736,30,15,35,20,0
134,0.9845339019626091,0,10,45,40,5
220,0.9845245030882188,0,20,20,30,30
770,0.9845212560553388,5,10,35,15,35
2050,0.9845145475023036,15,5,20,45,15
1347,0.9845103631335609,10,0,45,45,0
793,0.984508277938132,5,10,45,30,10
3916,0.984506360514077,30,0,40,30,0
851,0.9845047906607245,5,15,40,15,25
66,0.9844999752604215,0,5,40,20,35
1609,0.9844973031079488,10,20,35,10,25
4436,0.9844946338346513,35,0,25,40,0
794,0.9844943604889912,5,10,45,35,5
2200,0.9844926019853989,15,15,20,35,15
2049,0.9844906961598398,15,5,20,40,20
3163,0.9844886243398914,20,35,25,15,5
3035,0.9844664472580144,20,25,25,15,15
750,0.9844607030952723,5,10,20,35,30
1982,0.9844535979368213,15,0,20,45,20
541,0.9844533990107169,0,40,25,35,0
474,0.9844501096649346,0,35,35,5,25
373,0.984446896566846,0,30,20,35,15
371,0.9844454746336425,0,30,20,25,25
4120,0.9844415939164506,30,15,25,25,5
3889,0.9844359929776438,30,0,25,30,15
1048,0.9844357352958413,5,30,20,25,20
157,0.9844320810434091,0,15,25,20,40
1147,0.9844226084058321,5,35,35,5,20
916,0.9844188091037944,5,20,35,10,30
3533,0.9844182299272227,25,15,30,15,15
451,0.9844161797600035,0,35,20,25,20
2822,0.9844134093472826,20,10,35,15,20
